"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","Kingdom","Phylum","Class","Order","Family","Genus","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00058",0.0324207892269082,0.00547145147490395,0.0178596434935544,0.211644980234736,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.00128,0.00126,0.00214,0,0,0.00024,0.00026,0.0012,0.00102,0.00122,0,0,0,0,0,0,0,0,0.00146,0.026,0.0278,0.02608,0,0,0,0.00062,0.00106,0.00266,0.00342
"Otu00059",0.0500832055241836,9.49990719646553e-06,0.000136060443406085,0.212623179280583,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",8e-05,0,0,0,0.02304,0.01814,0.0192,0,2e-04,0.0013,0.00432,0.01362,0.01652,0.01336,3e-04,0,0,0,0,0,0.00026,0,0.00026,0.01312,0.01008,0.00924,0,0,0,0.002,0.01518,0.01528,0.0063
"Otu00061",0.938640406052715,4.83736980380787e-06,0.00010995037596192,0.939998785800982,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0,0,0,0,0.00812,0.00818,0.01084,0.00064,6e-05,0.00312,0.00958,0.03014,0.02334,0.02614,0.00286,0,0.00858,0.00608,0.0015,0.00264,0.00014,0,0.00044,0.0105,0.0121,0.01236,0,0,0,0.00088,0.00532,0.00598,0.00544
"Otu00062",0.172383675149211,4.99518764988882e-08,6.91333970744613e-06,0.39216568673612,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge",0,0,0,0,0.0131,0.0092,0.01944,0,4e-05,0.00086,0.00336,0.00826,0.01014,0.00904,0.00034,0,0.00138,0.0017,0.00444,0.00404,0.00018,0,0.00118,0.02702,0.02522,0.0266,0,0,0,0.00448,0.02002,0.02366,0.02398
"Otu00063",0.579299560748536,9.40842374327139e-10,6.5106292303438e-07,0.779636787515025,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified",0,0,0,0,0.00318,0.00286,0.0052,0.0019,0,0.0019,0.00522,0.01138,0.0137,0.01434,0.0033,0.00068,0.007,0.0167,0.01306,0.01166,0,0,0,0.00796,0.01076,0.01298,0,0,0,0.00222,0.007,0.00626,0.01258
"Otu00069",0.426131885427542,1.14879671703243e-06,5.6783380584746e-05,0.661460970898526,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_5",0,0,0,0,0.00634,0.00518,0.00708,0,8e-05,0.00158,0.00478,0.01092,0.01564,0.012,0.0013,0,0.00174,0.00206,0.00126,0.00098,0.00016,0,0.00032,0.00946,0.01344,0.01888,0,0,0,0.00278,0.01088,0.00882,0.0186
"Otu00072",0.722236720296125,0.00623062682088191,0.0197779530277536,0.841393620277641,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified",0,0,0,0,0,0,0,0.00064,0,0.00156,0.00606,0.01018,0.00768,0.01024,0.00386,0.00072,0.0068,0.0171,0.004,0.00488,0.00036,0,0,0.00696,0.007,0.0066,0,0,0,4e-04,0.00306,0.00306,0.02918
"Otu00079",0.333543077875886,1.59375399141119e-05,0.000166217245372241,0.577329218424133,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_ge",0,0,0,0,0.01348,0.0135,0.01732,0,0,0.00046,0.0011,0.00474,0.00506,0.00522,0.00254,0,0.00172,0.00192,0.00058,0.00082,8e-05,0,0.00028,0.00538,0.006,0.00734,0,4e-05,0,0.00204,0.00938,0.0058,0.0141
"Otu00081",0.444332854332654,0.0141047119933244,0.0365560325819494,0.673994413096563,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1_unclassified",0.00064,0.0012,0.00232,0.00292,0.00028,2e-04,0.00016,0.00142,0.00506,0.00306,0.00286,0.00244,0.00188,0.00356,0.0056,0.021,0.00804,0.0035,0.00184,0.00384,0.00428,3e-04,0.00088,0,0,0,0.00034,0.00644,0.02834,0.03714,0.00594,0.00252,0.00158
"Otu00082",0.185846369023461,0.0138013269842813,0.0359042040342958,0.405696174650583,"Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa","DMI_ge",0,0,0.00056,0.00054,0.00048,0,0,0,0,0,1e-04,2e-04,0.00014,0.00016,0,0.00152,0.00192,0.00018,0,0,0,0.0441,0.03314,0.00796,0.00406,0.00148,0,0.00266,0.01572,0.00886,0.00078,0.00076,0.00022
"Otu00083",0.682750231381433,1.40575473716095e-05,0.000162130379685896,0.825984545657258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.01026,0.00968,0.01528,0,0,0,0,0,0.00102,0.00092,0,0,0,0.00112,0.00216,0.00274,0,0,0,0.00688,0.0091,0.0102,0,0,0,0.00152,0.0026,0.00202,0.00282
"Otu00087",0.474947858132408,1.10521957152311e-07,1.27468657248998e-05,0.709857273925759,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallaceae_ge",6e-05,0,0,0,0.00812,0.00536,0.00948,0,4e-05,0.00032,0.00208,0.00538,0.0065,0.00492,0.00542,0,0.00162,0.00756,0.00306,0.0076,6e-05,0,1e-04,0.00594,0.0046,0.00542,0,0,0,0.00178,0.0116,0.01368,0.00774
"Otu00089",0.195677245154369,2.81337898995797e-05,0.000239386230447247,0.417927943354393,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified",4e-05,0,0,0,0.00818,0.00548,0.00698,0.00054,8e-05,0.00096,0.00312,0.00828,0.0091,0.0063,0.00062,0,0,4e-04,0.00022,0.00028,0,0,0.00026,0.00274,0.0024,0.00226,0,0,0,0.00548,0.02028,0.01828,0.01554
"Otu00090",0.266587764732968,3.77267664862971e-05,0.000297780375952153,0.509609760207774,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group",0,0,0,0,0.00156,0.00146,0.00194,0,0,0.00072,0.00246,0.00702,0.00668,0.00728,0,0,0,0,0,0,6e-05,0,0.00038,0.00952,0.00814,0.01,0,0,0,0,0.0016,0.00162,0.00238
"Otu00091",0.245477989980893,1.65736848709316e-05,0.000166217245372241,0.481220308971043,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0,0,0,0,0.00524,0.00468,0.00876,0.00126,0.00012,0.0013,0.0054,0.01336,0.0125,0.01788,0.00072,0,0,0,0,0,0.00028,0,2e-04,0.00696,0.00734,0.00826,0,0.00014,0,0.0024,0.0118,0.01292,0.0133
"Otu00092",0.509448711964288,0.00550629423029869,0.0178889934618155,0.738464615840896,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcaceae_unclassified",0.00596,0.00272,0.00078,7e-04,0,0,0,0.0539,0.02168,0.00384,0.00218,0,0,0,0.00802,0.00638,0.00078,0.00072,0.0017,0.00492,0,0.00138,0,0,0,0,0.0045,0.00318,0.00116,0.00096,0.00122,0.00258,0.00052
"Otu00094",0.652164126734314,1.89599070452333e-06,7.05453093099691e-05,0.805220365503505,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.0074,0.007,0.01792,0.00084,0,0.00186,0.00454,0.00836,0.01034,0.0081,0.00134,0,0.0055,0.00462,0.0014,0.00222,0,0,0.0038,0.00592,0.00808,0.0075,0,0,0,0.00316,0.00544,0.00472,0.00834
"Otu00095",0.385318970857861,2.06256391252924e-06,7.07518400657492e-05,0.628869641117075,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0,0,0,0,0.0038,0.00392,0.00644,0.00042,6e-05,0.0016,0.00698,0.01746,0.01724,0.02094,0,0,0,0,0.00046,0,0.00016,0,0.00018,0.00428,0.00768,0.0094,0,0,0,0.00158,0.00628,0.00482,0.01218
"Otu00097",0.19028412079355,0.000112528450411568,0.00073461969513967,0.411489411216051,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.01572,0.01222,0.02146,0,0,0,0.00136,0.0025,0.003,0.00232,0,0,0,0.00072,0,0,0,0,0,0.00182,0.0027,0.00294,0,0,0,0.00348,0.00862,0.0082,0.0116
"Otu00100",0.165545741627487,0.0054344209091949,0.0178228401382127,0.380590209987445,"Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae","Brevinema",0.00432,0.01846,0.02564,0.01568,0.00458,0.00482,0.00078,0.00172,0.0064,0.0215,0.0042,0.00074,8e-04,0.00038,0,0,0,0,0,0,0,0.00044,0.00134,1e-04,0,0,0,0,0.01888,0.02368,0.00042,8e-04,0.00016
"Otu00104",0.0515054536921305,5.30334131622475e-05,0.000390416190513566,0.212986202591746,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.00998,0.00774,0.01118,0.00082,0,0.00116,0.0027,0.00558,0.00546,0.0058,0.00036,0,0,0,0,0,2e-04,0,0.00016,0.00536,0.00392,0.00364,0,0,0,0.00306,0.0075,0.00682,0.00756
"Otu00107",0.00539948702085889,0.000574639598044493,0.00280035635103372,0.211644980234736,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrionaceae_unclassified",0.00822,0.01406,0.00592,0.00578,0.00154,0.00248,0.00082,0.002,0.01284,0.00536,0.00618,0.00372,0.0043,0.0038,0,0,0,0.00054,0,0,0.00086,0,0.00026,0,0,0,0.00658,0.0086,0.00468,0.0031,0.00176,0.00232,0.00192
"Otu00108",0.0329208334633166,0.000207714554505258,0.00123912475618654,0.211644980234736,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",0,0,0,0,0.00126,0.00144,0.00256,0.00062,0,0.00016,0.00054,0.00218,0.0023,0.003,0,0,0,0,0,0,0,4e-05,0.00094,0.01106,0.0195,0.01676,0,0,0,0.0011,0.00404,0.00316,0.0064
"Otu00111",0.859753966405514,9.63433775563322e-06,0.000136060443406085,0.878803168024544,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group",0,0,0,0,0.00092,7e-04,0.0016,0.00076,0,0.00084,0.00286,0.00938,0.00892,0.01348,0.00152,0,0.00162,0.0034,0.00222,0.00228,0.00014,0,6e-05,0.00656,0.00954,0.00956,0,0,0,0.00016,0.00104,0.00118,0.00116
"Otu00118",0.154914012604846,0.0183940568014237,0.0456225351490509,0.364736374567863,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0.00116,0.0059,0.00248,0.00522,0.00088,0.0013,0.00058,0.00054,0.00272,0.00274,0.00132,0,0,0,0,0,0,0,0,0,0,0.02856,0.01894,0.00088,0.00062,0,0,0,0.012,0.01634,0.00094,0.00204,0.00102
"Otu00122",0.0679016235493233,4.86235358467336e-05,0.000369752602263073,0.22920938290796,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","GCA-900066225",4e-04,0.00366,0.00374,0.00316,7e-04,0.00058,0,0.00156,0.00268,0.01524,0.00466,0,0,0,0,0.0011,8e-05,0,0,0,0.00018,0.02848,0.00858,0.00206,0.0018,0.00054,0,0,0.00956,0.00736,0.00064,0.00102,0.00026
"Otu00131",0.544854903216962,0.0191230042913275,0.046925953792903,0.764756442649319,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0.00042,0.00254,0.0063,0.00776,0.00924,0.00848,0.00126,0,0.00106,0.00102,0.00064,5e-04,0.00022,0.00024,0,0,0,0,0,0,0,0.0043,0.01776,0.002,0.0011,0.00034,0,0,5e-04,0.00354,0,0.00032,0
"Otu00132",0.118764798475224,0.00775135946545964,0.02342332205283,0.313684124217005,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacteraceae_unclassified",0,0,0,0,0.00286,0.00176,0.00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0.01758,0.0145,0.01344,0,0,0,0.00026,0.0037,0.00364,0.00218
"Otu00133",0.164198695201766,0.0116505532471708,0.0316164033217342,0.378751656932074,"Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified",0.00278,0.0143,0.01192,0.0078,0,0,0,0.00254,0.01132,0.0174,0.00242,2e-04,8e-05,0.00024,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01496,0.00404,0,0,0
"Otu00134",0.330061168612839,0.000133980889726595,0.000866493230755172,0.576773557272941,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge",0,0,0,0,0.00442,0.00242,0.0027,0.00036,0,0,0.00068,0.00166,0.00218,0.00212,0,0,0,0,0,0,0,0,6e-05,0.00348,0.00284,0.00302,0,0,0,0.00236,0.01498,0.0144,0.00838
"Otu00135",0.360654698318229,0.000416503271247556,0.00216747331699797,0.602833457092305,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.00322,0.00248,0.00464,0,0,0.00028,0.0012,0.00322,0.00346,0.00264,0.00162,0,0.01142,0.00352,9e-04,0.00166,0,0,0,0.00776,0.00918,0.00718,0,0,0,0,0.00244,0.00296,0.00382
"Otu00137",0.0450244245641898,4.93350741724162e-05,0.000371085557905565,0.211644980234736,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0,0,0,0,0.00444,0.0056,0.0146,0,0,0.00052,0.00144,0.00372,0.00424,0.00498,0,0,0,0,0,0,0,0,0,0.00078,0.00112,0.001,0,0,0,0.0014,0.00632,0.00532,0.0137
"Otu00139",0.264279852121426,0.00351613343273858,0.0121658216772755,0.507524915686961,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",0.00076,0.00286,0.00142,0.01186,0.00094,0.001,0,0,0.00156,0.00434,0.00426,0.00054,0.00038,0,0,0,0,0,0,0,0,0.02114,0.01608,0.00042,0,0,0,0,0.00078,0.0033,0,0,0
"Otu00140",0.472910311037261,0.000139215345910116,0.000892009438609264,0.709857273925759,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified",0.00214,0.00494,0.00476,0.01362,0.00368,0.00324,0.00054,0,0.00394,0.00764,0.00636,0.00056,0.00036,0.00024,0,0.00016,0,0,0,0,0,0.00242,0.00322,0,0,0,0,0,7e-04,0.00664,0,0,0
"Otu00141",0.0864016603768823,0.00075947281469866,0.0035272160253119,0.268741914283849,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified",0,0,0,0,0.0044,0.00286,0.00932,0,0,0,0.00014,0.00044,0.00046,3e-04,0,0,0,0,0,0,0,0,0.00044,0.01208,0.0156,0.01444,0,0,0,0.00056,0.00286,0.00356,0.00302
"Otu00156",0.182321469217996,0.000184158222079996,0.00111787271648559,0.401804002225646,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured_ge",0,0,0,0,0.00172,0.00188,0.00232,0,0,0.00038,0.00124,0.00484,0.00606,0.0053,0,0,0,0,0,0,6e-05,0,0.00014,0.01034,0.01022,0.00894,0,0,0,0.00026,0.00118,0.00092,0.00044
"Otu00157",0.878967969508682,0.00800631399780391,0.0239842826254559,0.88804275841765,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge",0,0,0,0,0,0,0,0,2e-05,0.00018,0.00054,0.00182,0.00236,0.00176,0.00026,0,0,0.00034,0.00116,0.00298,0,0,0,9e-04,7e-04,9e-04,0,0,0,0.0021,0.015,0.01528,0.0095
"Otu00159",0.28828615655394,0.00198749822666737,0.00768351269750737,0.533406471484829,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.0097,0.0071,0.0112,0.00104,0,0.00026,0.00072,0.00166,0.00236,0.0014,0.00056,0,0.00382,0.00118,0.00024,0.00012,0,0,0,0.00156,0.00136,0.00096,0,0,0,0.00128,0.00368,0.0039,0.00396
"Otu00162",0.0497087229776256,0.0104128835251334,0.0290553040298077,0.212623179280583,"Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa","DMI_ge",0,0,0.00154,0.00168,0.00084,0.00064,0,0,0.00216,0.00128,0.001,2e-05,0.00054,0,0,0,0,0,0,0,0,0.00766,0.02492,0.00364,0.00122,0.00088,0,0,0.00366,0.00392,0.00046,0.00068,0.00022
"Otu00165",0.3758223824092,0.0130627174569395,0.0344458949148713,0.617741303152414,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0.00032,0.00096,0.00324,0.00344,0.00458,0.00466,0.00056,0,2e-05,4e-05,3e-04,3e-04,2e-04,0.00034,0,0,0,0,0,0,0,0.01032,0.01012,0.00058,2e-04,0,0,0,0.00728,0.009,0.00088,0.00136,0.00032
"Otu00166",0.162760807438029,0.0136913283407446,0.0357524498558313,0.378751656932074,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0.00036,0.00088,0.00124,0.00166,0,0,0.00044,0.00062,0.00038,0,0,0,0,0.00296,0,0,0,0,0,0.00552,0.02524,0.00134,0.00062,0,0,0,0.00206,0.00832,0.00072,0.00072,0
"Otu00188",0.136437349213497,0.0205268711432725,0.049840683618051,0.340637601895099,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified",0,0,0.00028,0.00264,0.00274,0.00288,0.00032,0,0.00028,0.00116,0.0013,0.00054,0.00072,0.00056,0.00064,0.02244,0.00992,0.00292,8e-05,0,0,0.00028,0.00182,0.00032,2e-04,1e-04,0,0,6e-04,0.0031,0.00108,0.00134,6e-04
"Otu00192",0.087402710078888,0.00128691847819251,0.00543016821286106,0.268741914283849,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0.00046,0.00188,0.00092,0.00234,0,0,0,0,0.00132,0.00176,0.00086,0,0.00026,0,0,0.00294,0.00066,0,0,0,0,0.01864,0.00962,0.00076,0.00084,0.00058,0,0,0.00016,0.0043,0,0,0
"Otu00194",0.0479209828909515,0.00144225428859723,0.00597628723179211,0.211644980234736,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0.00106,0.00126,0.0025,0,0,0,9e-04,0.0018,0.002,0.00154,0,0,0,0,0,0,0,0,0.00086,0.01172,0.00784,0.00868,0,0,0,0,4e-05,0.00046,6e-04
"Otu00204",0.0162021658055555,0.0121037907478564,0.0325907517413098,0.211644980234736,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",0,0,0,0,0.00036,0,0,0,0,0,0,0,0.00044,3e-04,0.00196,0,0.00224,0.00346,0.01238,0.0084,0,0,0,5e-04,0.00134,0.0015,0,0,0,0,0,0,0.00088
"Otu00207",0.0954716286709859,6.58139572109039e-05,0.000460032913029752,0.281134099429713,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified",0,0,0,0,0.00256,0.00218,0.00358,0,0,0,0.00028,0.00144,0.0023,0.00336,0,0,0,0,0,0,0,0,0.00024,0.00418,0.0057,0.0101,0,0,0,0,0.00046,8e-05,0.00116
"Otu00257",0.179904524557406,0.000648881849810213,0.00309673269012874,0.400302028918731,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","uncultured",0.00048,0.00244,0.00276,0.00156,0.00036,0.00044,0,0,0.00076,0.0025,0.00116,0,0,0,0,0.00042,0,0,0,0,0,0.01518,0.00158,0.00062,0.00024,0,0,0,0.00556,0.0051,4e-04,0.00062,0.00034
"Otu00395",0.431605801583985,0.00798180004542794,0.0239842826254559,0.667183834416746,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthellaceae_unclassified",0,0,0,0,0.00224,0.00304,0.01102,0,0,0,6e-05,0.00054,0.00054,0.00082,0,0,6e-05,0.00014,0.00042,0.00016,0,0,0,0,0,0,0,0,0,0,0.00044,0.00034,9e-04
