OTU,Kingdom,Phylum,Class,Order,Family,Genus,OUT_genus,mean_relabund,Gut_SubSection
Otu00089,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,Otu00089 Rikenellaceae_unclassified,0.0003,GI_1
Otu00090,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,dgA-11_gut_group,Otu00090 dgA-11_gut_group,0,GI_1
Otu00091,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00091 Ruminococcaceae_unclassified,0.000495,GI_1
Otu00092,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,Otu00092 Peptostreptococcaceae_unclassified,0.018095,GI_1
Otu00094,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00094 Alistipes,0.000545,GI_1
Otu00095,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00095 Ruminococcaceae_unclassified,0.000105,GI_1
Otu00097,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00097 Alistipes,0,GI_1
Otu00100,Bacteria,Spirochaetes,Spirochaetia,Brevinematales,Brevinemataceae,Brevinema,Otu00100 Brevinema,0.00151,GI_1
Otu00104,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00104 Alistipes,0.000295,GI_1
Otu00105,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00105 Alistipes,0,GI_1
Otu00107,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified,Otu00107 Vibrionaceae_unclassified,0.0042,GI_1
Otu00108,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00108 Akkermansia,0.000155,GI_1
Otu00111,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,Otu00111 Christensenellaceae_R-7_group,0.00057,GI_1
Otu00113,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,Otu00113 Bacteroidia_unclassified,0,GI_1
Otu00118,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00118 Ruminococcaceae_unclassified,0.000425,GI_1
Otu00122,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,Otu00122 GCA-900066225,0.00049,GI_1
Otu00124,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,Otu00124 Rikenellaceae_unclassified,0,GI_1
Otu00130,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Otu00130 Tyzzerella,0.00035,GI_1
Otu00131,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00131 Alistipes,0.000105,GI_1
Otu00132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacteraceae_unclassified,Otu00132 Paludibacteraceae_unclassified,0,GI_1
Otu00133,Eukaryota,Parabasalia,Parabasalia_unclassified,Parabasalia_unclassified,Parabasalia_unclassified,Parabasalia_unclassified,Otu00133 Parabasalia_unclassified,0.001365,GI_1
Otu00134,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,Otu00134 Clostridiales_vadinBB60_group_ge,0.00009,GI_1
Otu00135,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00135 Alistipes,0.000405,GI_1
Otu00137,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00137 Ruminococcaceae_unclassified,0,GI_1
Otu00139,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Otu00139 Tyzzerella,0.00019,GI_1
Otu00140,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00140 Lachnospiraceae_unclassified,0.000535,GI_1
Otu00141,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,Otu00141 Bacteroidales_unclassified,0,GI_1
Otu00147,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00147 Alistipes,0.000515,GI_1
Otu00148,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallales_unclassified,Victivallales_unclassified,Otu00148 Victivallales_unclassified,0.000155,GI_1
Otu00151,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Otu00151 Verrucomicrobiae_unclassified,0.00028,GI_1
Otu00156,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,Otu00156 uncultured_ge,0,GI_1
Otu00157,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,Otu00157 Clostridiales_vadinBB60_group_ge,0.000065,GI_1
Otu00158,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00158 Ruminococcaceae_unclassified,0,GI_1
Otu00159,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00159 Alistipes,0.0004,GI_1
Otu00162,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,Otu00162 DMI_ge,0,GI_1
Otu00163,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00163 Alistipes,0,GI_1
Otu00165,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00165 Alistipes,0.00008,GI_1
Otu00166,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00166 Alistipes,0,GI_1
Otu00174,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Otu00174 Erysipelatoclostridium,0.000035,GI_1
Otu00175,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00175 Alistipes,0,GI_1
Otu00180,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00180 Ruminococcaceae_unclassified,0.000135,GI_1
Otu00181,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00181 Alistipes,0,GI_1
Otu00182,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00182 Rikenella,0.00025,GI_1
Otu00183,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Otu00183 Intestinimonas,0.000025,GI_1
Otu00185,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00185 Rikenella,0,GI_1
Otu00187,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00187 Alistipes,0,GI_1
Otu00188,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,Otu00188 Rikenellaceae_unclassified,0.00016,GI_1
Otu00190,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,Otu00190 Clostridiales_vadinBB60_group_ge,0,GI_1
Otu00192,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00192 Ruminococcaceae_unclassified,0.000115,GI_1
Otu00194,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00194 Alistipes,0,GI_1
Otu00200,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00200 Alistipes,0,GI_1
Otu00201,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00201 Akkermansia,0,GI_1
Otu00204,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00204 Ruminococcaceae_unclassified,0.00049,GI_1
Otu00207,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00207 Lachnospiraceae_unclassified,0,GI_1
Otu00208,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00208 Rikenella,0.000315,GI_1
Otu00210,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00210 Alistipes,0,GI_1
Otu00211,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00211 Akkermansia,0.00036,GI_1
Otu00213,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00213 Alistipes,0,GI_1
Otu00214,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00214 Ruminococcaceae_unclassified,0.000415,GI_1
Otu00218,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Breznakia,Otu00218 Breznakia,0,GI_1
Otu00222,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00222 Alistipes,0.000135,GI_1
Otu00223,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00223 Lachnospiraceae_unclassified,0.000055,GI_1
Otu00232,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00232 Alistipes,0,GI_1
Otu00238,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,Otu00238 Clostridiales_unclassified,0,GI_1
Otu00246,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00246 Alistipes,0,GI_1
Otu00247,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00247 Lachnospiraceae_unclassified,0,GI_1
Otu00252,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,Otu00252 Rikenellaceae_unclassified,0.00014,GI_1
Otu00257,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,uncultured,Otu00257 uncultured,0.00012,GI_1
Otu00259,Eukaryota,Parabasalia,Gf10_symbiont_group,Gf10_symbiont_group_or,Gf10_symbiont_group_fa,Gf10_symbiont_group_ge,Otu00259 Gf10_symbiont_group_ge,0.00056,GI_1
Otu00261,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00261 Alistipes,0,GI_1
Otu00264,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00264 Alistipes,0,GI_1
Otu00265,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00265 Rikenella,0.000055,GI_1
Otu00270,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,Otu00270 Bacteroidales_unclassified,0.000085,GI_1
Otu00273,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00273 Alistipes,0.00009,GI_1
Otu00274,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00274 Rikenella,0,GI_1
Otu00278,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured,Otu00278 uncultured,0.00006,GI_1
Otu00280,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,Otu00280 Bacteroidales_unclassified,0,GI_1
Otu00284,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Otu00284 Bacteria_unclassified,0.000105,GI_1
Otu00289,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,Otu00289 Gastranaerophilales_ge,0.000035,GI_1
Otu00290,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Otu00290 Bacteria_unclassified,0,GI_1
Otu00300,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00300 Lachnospiraceae_unclassified,0.000075,GI_1
Otu00301,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,Otu00301 Clostridiales_vadinBB60_group_ge,0.0001,GI_1
Otu00303,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00303 Rikenella,0,GI_1
Otu00304,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00304 Rikenella,0,GI_1
Otu00310,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,Otu00310 DMI_ge,0,GI_1
Otu00316,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00316 Rikenella,0,GI_1
Otu00317,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00317 Ruminococcaceae_unclassified,0.00008,GI_1
Otu00318,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00318 Alistipes,0.00009,GI_1
Otu00322,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00322 Rikenella,0,GI_1
Otu00323,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00323 Lachnospiraceae_unclassified,0,GI_1
Otu00326,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00326 Rikenella,0.000045,GI_1
Otu00330,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00330 Ruminococcaceae_unclassified,0,GI_1
Otu00332,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,Otu00332 Rikenellaceae_unclassified,0,GI_1
Otu00337,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Otu00337 Ruminococcaceae_unclassified,0.00012,GI_1
Otu00338,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00338 Rikenella,0,GI_1
Otu00339,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,Otu00339 Rhodospirillales_unclassified,0,GI_1
Otu00340,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Otu00340 Oscillibacter,0.000005,GI_1
Otu00342,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00342 Lachnospiraceae_unclassified,0.00006,GI_1
Otu00345,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00345 Alistipes,0,GI_1
Otu00350,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Otu00350 Oscillibacter,0,GI_1
Otu00351,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00351 Alistipes,0.000055,GI_1
Otu00352,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,Mollicutes_RF39_fa,Mollicutes_RF39_ge,Otu00352 Mollicutes_RF39_ge,0.00008,GI_1
Otu00362,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Otu00362 Tyzzerella,0.00017,GI_1
Otu00366,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00366 Rikenella,0,GI_1
Otu00368,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,Otu00368 Victivallaceae_ge,0,GI_1
Otu00372,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,Otu00372 Rikenellaceae_unclassified,0,GI_1
Otu00374,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00374 Alistipes,0.00005,GI_1
Otu00375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,Otu00375 Rhodospirillales_unclassified,0.000075,GI_1
Otu00376,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,Otu00376 Gastranaerophilales_ge,0,GI_1
Otu00379,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00379 Lachnospiraceae_unclassified,0,GI_1
Otu00380,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00380 Rikenella,0,GI_1
Otu00382,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,Otu00382 Bacteroidales_unclassified,0,GI_1
Otu00384,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00384 Lachnospiraceae_unclassified,0,GI_1
Otu00389,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00389 Lachnospiraceae_unclassified,0,GI_1
Otu00391,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,Otu00391 DMI_ge,0,GI_1
Otu00392,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,Otu00392 Gastranaerophilales_ge,0,GI_1
Otu00394,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00394 Alistipes,0,GI_1
Otu00395,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthellaceae_unclassified,Otu00395 Eggerthellaceae_unclassified,0,GI_1
Otu00399,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,Otu00399 Bacteroidia_unclassified,0,GI_1
Otu00404,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00404 Alistipes,0,GI_1
Otu00407,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00407 Lachnospiraceae_unclassified,0,GI_1
Otu00411,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00411 Alistipes,0,GI_1
Otu00415,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Otu00415 Oscillibacter,0.00018,GI_1
Otu00419,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00419 Alistipes,0,GI_1
Otu00421,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00421 Rikenella,0,GI_1
Otu00422,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,Otu00422 Ruminiclostridium_5,0,GI_1
Otu00424,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00424 Akkermansia,0,GI_1
Otu00428,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,Otu00428 Victivallaceae_ge,0.00011,GI_1
Otu00430,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Otu00430 Akkermansia,0.000015,GI_1
Otu00434,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,uncultured,Otu00434 uncultured,0.00005,GI_1
Otu00435,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00435 Alistipes,0,GI_1
Otu00436,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Otu00436 Alphaproteobacteria_unclassified,0.00002,GI_1
Otu00438,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00438 Rikenella,0.000065,GI_1
Otu00443,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00443 Alistipes,0,GI_1
Otu00444,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,Otu00444 uncultured_ge,0,GI_1
Otu00447,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00447 Alistipes,0,GI_1
Otu00448,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00448 Alistipes,0,GI_1
Otu00452,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Otu00452 Rikenella,0.00006,GI_1
Otu00455,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Otu00455 Lachnospiraceae_unclassified,0,GI_1
Otu00456,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00456 Alistipes,0.00007,GI_1
Otu00458,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,Otu00458 Rhodospirillales_unclassified,0,GI_1
Otu00461,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_ge,Otu00461 Family_XIII_ge,0,GI_1
Otu00463,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,Otu00463 Clostridiales_unclassified,0,GI_1
Otu00465,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00465 Alistipes,0,GI_1
Otu00467,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00467 Alistipes,0,GI_1
Otu00468,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00468 Alistipes,0.00004,GI_1
Otu00470,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,Otu00470 Victivallaceae_ge,0,GI_1
Otu00480,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Otu00480 Alistipes,0,GI_1
