,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F6_GI_1,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F8_GI_1,F8_GI_2,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,cluster.index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score,row.ID,row.m.z,row.retention.time,Component.Index,Library.ID,Library.Common.Name,Analog.ID,analog_mass_difference,Common.Name
106,1.826567534,0.172640452,0.570046866,0.610077563,-0.3,-0.3,-0.3,2.148652782,0.105070222,-0.095309438,0.636124081,-0.3,-0.3,-0.3,0.691375614,-0.3,-0.3,-0.3,-0.3,1.438440907,0.921152536,0.262249498,0.586733297,-0.151523649,-0.215994928,1.7945967,1.345850177,-0.3,-0.3,-0.3,-0.3,0.046069828,7.41E-08,1.35E-05,0.33717291,106,S59,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,106,188.0702066,2.600465909,150,Spectral Match to L-Tryptophan from NIST14,Tryptophan,Spectral Match to L-Tryptophan from NIST14,0.00479126,Tryptophan
111,-0.3,-0.3,-0.3,-0.3,1.496213854,0.984123708,1.366406562,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.953384629,1.503724675,1.60271007,-0.3,-0.3,0.817759417,1.699310778,1.985011758,1.552151205,0.511181174,0.003536693,0.034165658,0.862960772,111,S61,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,111,603.4409548,6.967257639,157,N/A,N/A,N/A,N/A,N/A
118,1.590912858,0.25230849,0.594395531,0.616662624,-0.3,-0.3,-0.3,1.881855679,0.229099729,0.068376997,0.661715937,-0.3,-0.3,-0.3,0.731846551,-0.3,-0.3,-0.3,-0.3,1.343211177,0.921669198,0.392801419,0.609102285,-0.015866968,-0.077736113,1.696003606,1.292869839,-0.13461228,-0.3,-0.3,-0.3,0.057847591,4.56E-07,3.57E-05,0.341194223,118,S62,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,118,205.0968325,2.601979386,150,Spectral Match to L-Tryptophan from NIST14,Tryptophan,Spectral Match to L-Tryptophan from NIST14,0.00180054,Tryptophan
126,-0.3,-0.3,0.363977806,0.921532251,1.978778857,1.350212208,1.650021672,-0.3,-0.3,0.470118786,0.945672998,0.608784469,0.529384057,0.037913962,-0.3,-0.221128084,0.820924381,1.093082648,0.228137924,-0.3,0.364776018,-0.19840746,-0.3,-0.3,-0.3,-0.3,-0.3,0.147884489,0.401461274,0.825380716,0.060158402,0.225830622,1.95E-05,0.000563533,0.592791503,126,2,7,Organic compounds,1,Organoheterocyclic compounds,0.493197279,Carboxylic acids and derivatives,0.298696145,"Amino acids, peptides, and analogues",0.284410431,Alpha amino acids and derivatives,0.110260771,Aromatic heteropolycyclic compounds,0.457426304,126,441.2616796,6.795651389,7,N/A,N/A,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-rac-glycerol),20.0046,"1,2-Dipalmitoyl-sn-glycero-3-phosphorylglycerol"
141,-0.3,-0.3,-0.266003029,-0.00280046,1.711385737,1.6412107,1.63365866,-0.3,-0.3,-0.073998448,0.684359775,0.83751389,0.54731445,-0.3,-0.3,0.816012193,1.255872213,0.978773142,-0.021905811,-0.3,-0.3,0.108168591,-0.3,-0.246755056,-0.173999467,-0.3,-0.3,0.537633494,0.497146651,0.945724293,0.662674651,0.219995631,0.001623941,0.02118857,0.590968655,141,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,141,507.2696766,7.409449744,7,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),16:0 Lyso PG,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-rac-glycerol),11.9996,16:0 Lyso PG
151,-0.3,-0.3,-0.3,-0.102977539,2.003704873,1.419103432,1.589527359,-0.3,-0.3,-0.232166429,0.681028571,0.710638049,0.37925475,0.152033789,-0.3,0.72918437,1.096323018,0.828402507,-0.012724982,-0.3,-0.3,0.097387707,-0.3,-0.276830466,-0.243045657,-0.3,-0.3,0.758214727,0.682420819,0.941609739,0.685876502,0.142818621,0.000245944,0.004991749,0.496224952,151,63,50,Organic compounds,1,Lipids and lipid-like molecules,0.470212121,Prenol lipids,0.177018038,,0.1856443,Diterpenoids,0.042135642,Aromatic heteropolycyclic compounds,0.382551948,151,485.2878634,7.418996561,7,2-hydroxy-3-(2-hydroxyacetoxy)propyl palmitate,2-hydroxy-3-(2-hydroxyacetoxy)propyl palmitate,PE(16:0/0:0); [M+H]+ C21H45N1O7P1,32.0019,2-hydroxy-3-(2-hydroxyacetoxy)propyl palmitate
153,1.20657525,-0.267440625,-0.083456042,0.040625038,-0.3,-0.3,-0.3,1.510995721,2.208262972,2.197446376,0.94810891,-0.3,-0.3,-0.3,0.179191861,-0.3,-0.3,-0.3,-0.3,0.996626965,-0.05060916,-0.18361947,0.756863557,0.337511978,-0.105883934,1.119547348,0.422998875,0.966781582,-0.3,-0.3,-0.3,0.463313103,0.002389664,0.02425066,0.862960772,153,28,19,Organic compounds,1,Lipids and lipid-like molecules,0.901754386,Prenol lipids,0.378947368,Triterpenoids,0.315789474,Triterpenoids,0.315789474,Aliphatic acyclic compounds,0.498245614,153,247.1290413,1.493374206,-1,N/A,N/A,#NAME?,42.0471,Glu-Gly
156,1.765150501,2.681227093,1.072215441,0.452136934,-0.144832983,-0.113872115,-0.185498178,0.141307274,0.921385099,0.077899433,-0.123429717,0.054442778,-0.130974394,-0.227548234,0.795587127,-0.272549201,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.611351253,2.188537765,0.502017698,0.037681247,0.25552034,-0.3,0.13215266,0.000128261,0.00292863,0.473331095,156,74,4,Organic compounds,1,Lipids and lipid-like molecules,0.8,Glycerolipids,0.34375,Triradylcglycerols,0.34375,Triacylglycerols,0.34375,Aliphatic acyclic compounds,0.46875,156,481.2985569,6.08071708,5,N/A,N/A,N/A,N/A,N/A
167,1.353856053,0.281618622,0.806621476,1.012747464,-0.3,-0.3,-0.3,1.272472535,0.551228184,0.592052974,-0.013302958,-0.3,-0.3,-0.3,0.778614455,0.03619028,-0.3,-0.3,-0.3,1.045397974,0.890799494,0.751790781,1.075380941,0.530127768,0.480237184,0.968110963,1.013105187,0.411957476,-0.054365108,-0.3,-0.3,0.030550556,1.05E-06,6.39E-05,0.33717291,167,S76,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,167,149.0592591,1.473443356,106,N/A,N/A,"N-Hydroxy-3,4-methylenedioxyamphetamine",29.027,"N-Hydroxy-3,4-methylenedioxyamphetamine"
169,1.851455653,2.697386046,1.203975475,0.707403192,-0.3,-0.3,-0.3,-0.3,1.006051763,0.295353468,-0.3,-0.3,-0.3,-0.3,0.936202511,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.843382092,2.161255415,0.748302012,0.268176358,0.461433515,-0.3,0.479917848,0.002104968,0.022618085,0.862960772,169,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5,169,517.3191961,6.104153056,5,N/A,N/A,"""(4R)-4-((3R,5R,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",44.0622,Sulfated chenodeoxycholic acid
171,1.041275972,2.337497247,1.37322448,0.910660491,-0.3,-0.092681544,-0.3,-0.142826843,1.776316689,0.673219809,0.37999473,-0.3,-0.3,-0.3,0.697012049,0.612407165,-0.3,-0.3,-0.3,0.862152375,1.0522725,0.017879878,-0.3,-0.3,-0.3,0.080519885,1.274413374,-0.3,-0.3,-0.3,-0.3,0.766599895,4.20E-09,2.30E-06,0.902782481,171,309,4,Organic compounds,1,Organoheterocyclic compounds,0.327380952,Steroids and steroid derivatives,0.178571429,,0.222222222,Androgens and derivatives,0.071428571,Aromatic heteropolycyclic compounds,0.382936508,171,357.2793174,6.277487664,5,"(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",deoxycholic acid ,"""(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.000305176,deoxycholic acid 
191,-0.3,-0.3,-0.141544461,0.296401679,1.313874715,0.776331328,1.023142104,-0.3,-0.3,0.180858516,0.613426896,0.752500417,0.699012431,-0.3,-0.3,0.429077601,2.325208379,1.76359403,0.714838182,-0.3,-0.237522137,-0.3,-0.3,-0.3,-0.20714186,-0.3,-0.3,0.03255781,0.786329032,1.109381356,0.450489837,0.050253713,0.000196582,0.004143352,0.33717291,191,52,20,Organic compounds,1,Organic acids and derivatives,0.501765873,Carboxylic acids and derivatives,0.461488095,"Amino acids, peptides, and analogues",0.461488095,Dipeptides,0.269186508,Aromatic heteropolycyclic compounds,0.33827381,191,455.2774048,7.138545578,7,N/A,N/A,N/A,N/A,N/A
195,1.455697052,1.500626199,2.222449976,1.964304326,-0.3,-0.3,-0.3,-0.3,0.690866939,0.620133972,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.41563923,0.918916515,1.116625229,-0.3,1.053914531,-0.3,0.343232819,0.999887185,0.731659154,-0.3,-0.3,-0.3,0.643787885,0.002022523,0.022166857,0.862960772,195,S84,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,195,281.1136113,2.937430044,-1,Asp-Phe,Asp-Phe,Massbank:EA277010 Aspartame|3-amino-4-[(1-benzyl-2-keto-2-methoxy-ethyl)amino]-4-keto-butyric acid,14.0154,Asp-Phe
210,0.287076443,1.552373996,1.283718869,-0.3,-0.3,-0.3,1.14528278,-0.3,1.063169444,0.658781294,1.28881624,-0.3,-0.3,-0.3,-0.3,2.501262123,-0.3,0.961137729,-0.3,-0.047525478,0.929394536,0.552540762,-0.3,-0.3,-0.3,-0.3,1.188103344,0.501143149,-0.3,-0.3,-0.3,0.304857199,0.001961711,0.02206901,0.708460069,210,S92,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,210,359.294923,7.240912308,5,"(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",lithocholic acid,"""(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.00088501,lithocholic acid
220,-0.3,-0.3,-0.3,-0.3,1.422705097,0.480026279,1.298280267,-0.3,-0.3,-0.3,-0.3,1.19130794,1.404306624,0.147201393,-0.278751975,0.311763584,1.391446996,1.775925291,2.296373281,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.109395603,0.537770927,0.82291294,0.357420041,0.027456427,0.000111279,0.002651331,0.33717291,220,S99,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,220,180.1019131,0.839309333,-1,N/A,N/A,N/A,N/A,N/A
246,0.00376647,0.985296805,1.081013497,1.335260458,0.426976001,0.918328861,-0.183695913,-0.157693265,2.211546504,1.645252569,1.257999108,0.130049633,-0.3,-0.3,0.209106967,0.228710537,-0.3,-0.3,-0.3,0.691996392,1.077949819,0.321078368,-0.3,-0.3,-0.3,-0.291214952,0.602977965,-0.3,-0.3,-0.3,-0.3,0.792375412,6.80E-05,0.001773802,0.902782481,246,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231,246,357.279184,5.780734983,5,"(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",chenodeoxycholic acid ,"""(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.000213623,chenodeoxycholic acid 
261,-0.3,2.009020753,2.033976298,-0.3,-0.3,-0.3,-0.3,0.253064478,2.234715912,1.531396133,-0.3,-0.3,-0.3,-0.3,-0.3,0.569129121,-0.3,-0.3,-0.3,-0.3,0.488613006,-0.3,-0.3,-0.3,-0.3,0.575746391,2.583732505,-0.3,-0.3,-0.3,-0.3,0.176435755,2.95E-05,0.000807409,0.526544901,261,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231,261,373.2739697,5.958677684,5,Cholic acid,Cholic acid,Cholic acid,18.011,Cholic acid
335,-0.3,2.074685488,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,3.013916181,-0.3,-0.3,-0.3,-0.3,2.126007482,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.883619057,-0.3,-0.3,-0.3,-0.3,0.346184999,0.003616073,0.034165658,0.74688732,335,52,20,Organic compounds,1,Organic acids and derivatives,0.501765873,Carboxylic acids and derivatives,0.461488095,"Amino acids, peptides, and analogues",0.461488095,Dipeptides,0.269186508,Aromatic heteropolycyclic compounds,0.33827381,335,411.2530948,6.859693939,172,N/A,N/A,N/A,N/A,N/A
376,1.110000375,1.32338868,1.598565152,1.671649579,-0.3,-0.3,-0.3,-0.3,1.982515776,1.595164175,1.262060331,-0.3,-0.3,-0.3,0.863430057,-0.3,-0.3,-0.3,-0.3,0.111418006,0.395820098,0.584621004,0.847100519,-0.3,-0.3,-0.071609592,0.577531478,-0.3,-0.3,-0.3,-0.3,0.87772663,0.003611958,0.034165658,0.921444815,376,S170,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,376,233.1132182,0.933221759,-1,N/A,N/A,N/A,N/A,N/A
390,0.916590273,-0.3,1.74919675,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.969300899,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.854104399,2.051606143,1.659231507,-0.3,1.533172503,-0.3,1.343736378,1.438942907,-0.3,-0.3,-0.3,-0.3,0.158261805,0.002750964,0.027409605,0.512375688,390,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231,390,394.1981948,3.899405357,46,Leu Asp Phe,Leu-Asp-Phe,Leu Asp Phe,0.000946045,Leu-Asp-Phe
395,1.480305755,0.396645234,0.91794197,1.03496676,-0.3,-0.3,-0.3,1.358523685,0.683855241,0.682077671,-0.3,-0.3,-0.3,-0.3,0.798133543,-0.3,-0.3,-0.3,-0.3,1.105147576,1.016978051,0.859939287,1.183100934,0.633692635,0.536791828,1.081337118,1.12807579,-0.3,-0.3,-0.3,-0.3,0.029947891,1.06E-05,0.000322141,0.33717291,395,52,20,Organic compounds,1,Organic acids and derivatives,0.501765873,Carboxylic acids and derivatives,0.461488095,"Amino acids, peptides, and analogues",0.461488095,Dipeptides,0.269186508,Aromatic heteropolycyclic compounds,0.33827381,395,131.0484568,1.475800731,106,4-Methoxychalcone,4-Methoxychalcone,"2-Methyl-6(S)-(3-pyridyl)tetrahydro-1,2-oxazine",0.983398,4-Methoxychalcone
401,0.304491188,-0.3,-0.3,0.339206077,-0.3,-0.3,-0.3,0.90226585,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.080178063,1.655864267,2.226888272,1.795058445,2.224038158,1.752045351,0.936708524,-0.3,0.814858564,-0.3,-0.3,-0.3,0.005020005,0.004137615,0.037790218,0.33717291,401,S177,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,401,332.181892,3.095012209,15,N/A,N/A,Asp-Val,99.0687,Asp-Val
459,1.845499991,-0.3,0.43817591,-0.3,-0.3,-0.3,-0.3,2.105291018,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.484392416,0.678991115,0.466636601,-0.3,-0.3,-0.3,3.498123364,1.027618219,-0.3,-0.3,-0.3,-0.3,0.270349498,0.000881997,0.013063092,0.653244764,459,19,21,Organic compounds,0.619047619,Organoheterocyclic compounds,0.278741497,Benzene and substituted derivatives,0.126870748,,0.119047619,Dipeptides,0.038548753,Aromatic heteropolycyclic compounds,0.239172336,459,261.1447748,2.491909333,276,Glu-Leu,Glu-Leu,5-L-Glutamyl-L-alanine,42.0472,Glu-Leu
512,2.479780697,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.65583534,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.018284583,-0.3,-0.3,-0.3,-0.3,1.947125935,2.125867494,1.867993097,-0.3,-0.3,-0.3,0.542110157,0.757542341,-0.3,-0.3,-0.3,-0.3,0.084921774,0.001440384,0.019251968,0.411196109,512,S233,1,Organic compounds,1,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",1,Dipeptides,1,Aromatic heteropolycyclic compounds,1,512,136.0750403,0.85113029,-1,N/A,N/A,N/A,N/A,N/A
513,2.588366416,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.921405501,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.040494784,1.699580859,-0.3,-0.3,-0.3,-0.3,1.749387406,-0.3,-0.3,-0.3,-0.3,-0.3,0.210798547,0.001677789,0.021382059,0.57986163,513,S234,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,513,258.1101138,0.653304722,74,Glycerophosphocholine,Glycerophosphocholine,Glycerophosphocholine,0,Glycerophosphocholine
514,1.924288634,0.770917021,0.920322891,-0.3,-0.3,-0.3,-0.3,2.083142875,0.815481494,-0.3,-0.3,-0.3,-0.3,-0.3,1.260088461,-0.3,-0.3,-0.3,-0.3,1.376640287,1.021238981,-0.3,1.532831995,-0.3,-0.3,1.145080893,1.290878519,-0.3,-0.3,-0.3,-0.3,0.176796098,7.39E-07,5.06E-05,0.526544901,514,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,514,130.0492053,0.649244081,-1,N/A,N/A,N/A,N/A,N/A
