"","Vibrionaceae_unclassified_Otu00003","Pasteurellaceae_unclassified_Otu00004","Turicibacter_Otu00005","Peptostreptococcaceae_unclassified_Otu00015","Desulfovibrio_Otu00019","Ruminococcaceae_unclassified_Otu00025","DMI_ge_Otu00027","Peptostreptococcaceae_unclassified_Otu00032","Akkermansia_Otu00040","Alistipes_Otu00047","Akkermansia_Otu00057","Alistipes_Otu00058","Bacteria_unclassified_Otu00059","Ruminococcaceae_unclassified_Otu00061","Clostridiales_vadinBB60_group_ge_Otu00062","Lachnospiraceae_unclassified_Otu00063","Ruminiclostridium_5_Otu00069","Lachnospiraceae_unclassified_Otu00072","Ruminococcaceae_ge_Otu00079","Clostridiaceae_1_unclassified_Otu00081","DMI_ge_Otu00082","Alistipes_Otu00083","Victivallaceae_ge_Otu00087","Rikenellaceae_unclassified_Otu00089","dgA-11_gut_group_Otu00090","Ruminococcaceae_unclassified_Otu00091","Peptostreptococcaceae_unclassified_Otu00092","Alistipes_Otu00094","Ruminococcaceae_unclassified_Otu00095","Alistipes_Otu00097","Brevinema_Otu00100","Alistipes_Otu00104","Vibrionaceae_unclassified_Otu00107","Akkermansia_Otu00108","Christensenellaceae_R-7_group_Otu00111","Ruminococcaceae_unclassified_Otu00118","GCA-900066225_Otu00122","Alistipes_Otu00131","Paludibacteraceae_unclassified_Otu00132","Parabasalia_unclassified_Otu00133","Clostridiales_vadinBB60_group_ge_Otu00134","Alistipes_Otu00135","Ruminococcaceae_unclassified_Otu00137","Tyzzerella_Otu00139","Lachnospiraceae_unclassified_Otu00140","Bacteroidales_unclassified_Otu00141","uncultured_ge_Otu00156","Clostridiales_vadinBB60_group_ge_Otu00157","Alistipes_Otu00159","DMI_ge_Otu00162","Alistipes_Otu00165","Alistipes_Otu00166","Rikenellaceae_unclassified_Otu00188","Ruminococcaceae_unclassified_Otu00192","Alistipes_Otu00194","Ruminococcaceae_unclassified_Otu00204","Lachnospiraceae_unclassified_Otu00207","uncultured_Otu00257","Eggerthellaceae_unclassified_Otu00395","X","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Section","Gut_SubSection","Culture_Media","Ranked_Gut_SubSection_Distance_from_Stomach"
"F5_HG_1",0.1392,8e-05,0.04624,0.00214,0.02138,0.0644,0.00528,0.00446,0.02098,0.01034,0.00602,0.0012,0.01362,0.03014,0.00826,0.01138,0.01092,0.01018,0.00474,0.00244,2e-04,0,0.00538,0.00828,0.00702,0.01336,0,0.00836,0.01746,0.0025,0.00074,0.00558,0.00372,0.00218,0.00938,0,0,5e-04,0,2e-04,0.00166,0.00322,0.00372,0.00054,0.00056,0.00044,0.00484,0.00182,0.00166,2e-05,3e-04,0,0.00054,0,0.0018,0,0.00144,0,0.00054,25,"F5_HG_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6
"F5_HG_2",0.14046,0.00018,0.04032,0.00218,0.02582,0.05468,0.00486,0.00338,0.018,0.01318,0.0059,0.00102,0.01652,0.02334,0.01014,0.0137,0.01564,0.00768,0.00506,0.00188,0.00014,0.00102,0.0065,0.0091,0.00668,0.0125,0,0.01034,0.01724,0.003,8e-04,0.00546,0.0043,0.0023,0.00892,0,0,0.00022,0,8e-05,0.00218,0.00346,0.00424,0.00038,0.00036,0.00046,0.00606,0.00236,0.00236,0.00054,2e-04,0,0.00072,0.00026,0.002,0.00044,0.0023,0,0.00054,26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7
"F5_HG_3",0.09594,0,0.05202,0.00258,0.02824,0.05684,0.0043,0.00346,0.02712,0.01136,0.00852,0.00122,0.01336,0.02614,0.00904,0.01434,0.012,0.01024,0.00522,0.00356,0.00016,0.00092,0.00492,0.0063,0.00728,0.01788,0,0.0081,0.02094,0.00232,0.00038,0.0058,0.0038,0.003,0.01348,0,0,0.00024,0,0.00024,0.00212,0.00264,0.00498,0,0.00024,3e-04,0.0053,0.00176,0.0014,0,0.00034,0,0.00056,0,0.00154,3e-04,0.00336,0,0.00082,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8
"F6_GI_1",0.0146,0.0052,0.05904,0,0.01886,0.00256,0,0.02206,0.00042,0.00152,0,0,3e-04,0.00286,0.00034,0.0033,0.0013,0.00386,0.00254,0.0056,0,0,0.00542,0.00062,0,0.00072,0.00802,0.00134,0,0,0,0.00036,0,0,0.00152,0,0,0,0,0.00014,0,0.00162,0,0,0,0,0,0.00026,0.00056,0,0,0,0.00064,0,0,0.00196,0,0,0,30,"F6_GI_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut",2
"F6_GI_3",0.02204,0,0.0739,0,0.00012,0,0.00976,0.00536,0,0,0,0,0,0,0,0.00068,0,0.00072,0,0.021,0.00152,0,0,0,0,0,0.00638,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0.00296,0.02244,0.00294,0,0,0,0.00042,0,31,"F6_GI_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_3","Fish_Gut",4
"F6_GI_4",0.01246,0,0.03572,0,0.00534,0.00122,0.0079,0.01438,0,0.01108,0,0,0,0.00858,0.00138,0.007,0.00174,0.0068,0.00172,0.00804,0.00192,0,0.00162,0,0,0,0.00078,0.0055,0,0,0,0,0,0,0.00162,0,8e-05,0,0,0,0,0.01142,0,0,0,0,0,0,0.00382,0,0,0,0.00992,0.00066,0,0.00224,0,0,6e-05,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5
"F6_HG_1",0.00384,0,0.01626,0,0.05148,0.0019,0.00062,0.00808,0,0.00434,0,0,0,0.00608,0.0017,0.0167,0.00206,0.0171,0.00192,0.0035,0.00018,0.00112,0.00756,4e-04,0,0,0.00072,0.00462,0,0.00072,0,0,0.00054,0,0.0034,0,0,0,0,0,0,0.00352,0,0,0,0,0,0.00034,0.00118,0,0,0,0.00292,0,0,0.00346,0,0,0.00014,33,"F6_HG_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6
"F6_HG_2",4e-04,0,0.01428,0,0.1199,0.00042,0,0.01066,0,0.00054,0,0,0,0.0015,0.00444,0.01306,0.00126,0.004,0.00058,0.00184,0,0.00216,0.00306,0.00022,0,0,0.0017,0.0014,0.00046,0,0,0,0,0,0.00222,0,0,0,0,0,0,9e-04,0,0,0,0,0,0.00116,0.00024,0,0,0,8e-05,0,0,0.01238,0,0,0.00042,34,"F6_HG_2","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7
"F6_HG_3",0,0,0.01206,0,0.03046,0.00086,0,0.0132,0,0.00058,0,0,0,0.00264,0.00404,0.01166,0.00098,0.00488,0.00082,0.00384,0,0.00274,0.0076,0.00028,0,0,0.00492,0.00222,0,0,0,0,0,0,0.00228,0,0,0,0,0,0,0.00166,0,0,0,0,0,0.00298,0.00012,0,0,0,0,0,0,0.0084,0,0,0.00016,35,"F6_HG_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8
"F7_GI_2",0.00508,0.00186,0.06972,0.02304,0.00024,0.00066,0,0.04358,0.00042,0.00022,0,0,0.00026,0.00014,0.00018,0,0.00016,0.00036,8e-05,0.00428,0,0,6e-05,0,6e-05,0.00028,0,0,0.00016,0,0,2e-04,0.00086,0,0.00014,0,0.00018,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,39,"F7_GI_2","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_2","Fish_Gut",3
"F7_GI_3",0.00026,0.0011,0.00576,0.02494,0,0,0.07088,0.00226,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.0441,0,0,0,0,0,0.00138,0,0,0,0.00044,0,0,4e-05,0,0.02856,0.02848,0.0043,0,0,0,0,0,0.02114,0.00242,0,0,0,0,0.00766,0.01032,0.00552,0.00028,0.01864,0,0,0,0.01518,0,40,"F7_GI_3","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_3","Fish_Gut",4
"F7_GI_4",0.00112,0.0029,0.00714,0.01058,0.00032,0.00056,0.08942,0.00324,0,0.00162,0.00128,0.00146,0.00026,0.00044,0.00118,0,0.00032,0,0.00028,0.00088,0.03314,0,1e-04,0.00026,0.00038,2e-04,0,0.0038,0.00018,0,0.00134,0.00016,0.00026,0.00094,6e-05,0.01894,0.00858,0.01776,0.00036,0,6e-05,0,0,0.01608,0.00322,0.00044,0.00014,0,0,0.02492,0.01012,0.02524,0.00182,0.00962,0.00086,0,0.00024,0.00158,0,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5
"F7_HG_1",0.00024,0.002,0.00116,0.00362,0.00728,0.02024,0.026,0.00046,0.00368,0.02176,0.02634,0.026,0.01312,0.0105,0.02702,0.00796,0.00946,0.00696,0.00538,0,0.00796,0.00688,0.00594,0.00274,0.00952,0.00696,0,0.00592,0.00428,0.00182,1e-04,0.00536,0,0.01106,0.00656,0.00088,0.00206,0.002,0.01758,0,0.00348,0.00776,0.00078,0.00042,0,0.01208,0.01034,9e-04,0.00156,0.00364,0.00058,0.00134,0.00032,0.00076,0.01172,5e-04,0.00418,0.00062,0,42,"F7_HG_1","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut",6
"F7_HG_2",0,0.00104,0.00048,0.00212,0.01432,0.02254,0.01432,5e-04,0.00546,0.02076,0.0405,0.0278,0.01008,0.0121,0.02522,0.01076,0.01344,0.007,0.006,0,0.00406,0.0091,0.0046,0.0024,0.00814,0.00734,0,0.00808,0.00768,0.0027,0,0.00392,0,0.0195,0.00954,0.00062,0.0018,0.0011,0.0145,0,0.00284,0.00918,0.00112,0,0,0.0156,0.01022,7e-04,0.00136,0.00122,2e-04,0.00062,2e-04,0.00084,0.00784,0.00134,0.0057,0.00024,0,43,"F7_HG_2","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut",7
"F7_HG_3",0.00072,0.00064,0.00046,0.0011,0.01314,0.02516,0.00488,0.00022,0.00578,0.02114,0.04514,0.02608,0.00924,0.01236,0.0266,0.01298,0.01888,0.0066,0.00734,0,0.00148,0.0102,0.00542,0.00226,0.01,0.00826,0,0.0075,0.0094,0.00294,0,0.00364,0,0.01676,0.00956,0,0.00054,0.00034,0.01344,0,0.00302,0.00718,0.001,0,0,0.01444,0.00894,9e-04,0.00096,0.00088,0,0,1e-04,0.00058,0.00868,0.0015,0.0101,0,0,44,"F7_HG_3","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut",8
"F8_GI_1",0.14846,0,0.03894,0.3479,0.00016,0,0.00024,0.00246,0.00024,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0.0045,0,0,0,0,0,0.00658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,"F8_GI_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2
"F8_GI_2",0.14578,0,0.26882,0.24346,0,2e-04,0.00024,0.00804,0,4e-05,0.00012,0,0,0,0,0,0,0,4e-05,0.00644,0.00266,0,0,0,0,0.00014,0.00318,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"F8_GI_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3
"F8_GI_3",0.09512,0,0.16572,0.01722,0,4e-05,0.02202,0.0195,0,0,0,0,0,0,0,0,0,0,0,0.02834,0.01572,0,0,0,0,0,0.00116,0,0,0,0.01888,0,0.00468,0,0,0.012,0.00956,5e-04,0,0.01496,0,0,0,0.00078,7e-04,0,0,0,0,0.00366,0.00728,0.00206,6e-04,0.00016,0,0,0,0.00556,0,49,"F8_GI_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4
"F8_GI_4",0.02448,0,0.12856,0.00394,0.00274,0.00452,0.04132,0.00886,0.0088,0.0036,0.00146,0.00062,0.002,0.00088,0.00448,0.00222,0.00278,4e-04,0.00204,0.03714,0.00886,0.00152,0.00178,0.00548,0,0.0024,0.00096,0.00316,0.00158,0.00348,0.02368,0.00306,0.0031,0.0011,0.00016,0.01634,0.00736,0.00354,0.00026,0.00404,0.00236,0,0.0014,0.0033,0.00664,0.00056,0.00026,0.0021,0.00128,0.00392,0.009,0.00832,0.0031,0.0043,0,0,0,0.0051,0,50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5
"F8_HG_1",0.01874,2e-05,0.04586,0.01428,0.0146,0.02442,0.0061,0.00066,0.02868,0.00964,0.005,0.00106,0.01518,0.00532,0.02002,0.007,0.01088,0.00306,0.00938,0.00594,0.00078,0.0026,0.0116,0.02028,0.0016,0.0118,0.00122,0.00544,0.00628,0.00862,0.00042,0.0075,0.00176,0.00404,0.00104,0.00094,0.00064,0,0.0037,0,0.01498,0.00244,0.00632,0,0,0.00286,0.00118,0.015,0.00368,0.00046,0.00088,0.00072,0.00108,0,4e-05,0,0.00046,4e-04,0.00044,51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6
"F8_HG_2",0.01652,4e-05,0.03514,0.0303,0.01514,0.02338,0.0094,0.00036,0.02172,0.00992,0.00384,0.00266,0.01528,0.00598,0.02366,0.00626,0.00882,0.00306,0.0058,0.00252,0.00076,0.00202,0.01368,0.01828,0.00162,0.01292,0.00258,0.00472,0.00482,0.0082,8e-04,0.00682,0.00232,0.00316,0.00118,0.00204,0.00102,0.00032,0.00364,0,0.0144,0.00296,0.00532,0,0,0.00356,0.00092,0.01528,0.0039,0.00068,0.00136,0.00072,0.00134,0,0.00046,0,8e-05,0.00062,0.00034,52,"F8_HG_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7
"F8_HG_3",0.00786,0,0.023,0.00708,0.03818,0.02294,0.00192,0.00022,0.03904,0.01176,0.0084,0.00342,0.0063,0.00544,0.02398,0.01258,0.0186,0.02918,0.0141,0.00158,0.00022,0.00282,0.00774,0.01554,0.00238,0.0133,0.00052,0.00834,0.01218,0.0116,0.00016,0.00756,0.00192,0.0064,0.00116,0.00102,0.00026,0,0.00218,0,0.00838,0.00382,0.0137,0,0,0.00302,0.00044,0.0095,0.00396,0.00022,0.00032,0,6e-04,0,6e-04,0.00088,0.00116,0.00034,9e-04,53,"F8_HG_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8
